"YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","STRATA","GQ","PERNUM","PERWT","NCHILD","NCHLT5","SEX","AGE","MARST","RACE","RACED","HISPAN","HISPAND","EDUC","EDUCD","EMPSTAT","EMPSTATD","INCWAGE","VETSTAT","VETSTATD"
2019,201901,2411,2019000001667,7740.0,2019000024111,120001,1,1,7740.0,1,1,1,33,1,1,100,0,0,11,114,1,10,112000,1,11
2019,201901,2411,2019000001667,7740.0,2019000024111,120001,1,2,12384.0,1,1,2,35,1,6,663,0,0,11,114,1,10,105000,1,11
2019,201901,2411,2019000001667,7740.0,2019000024111,120001,1,3,6966.0,0,0,2,2,6,8,818,0,0,0,1,0,0,999999,0,0
2019,201901,2566,2019000012648,14860.8,2019000025661,190001,1,1,14860.8,2,2,1,33,1,1,100,1,100,6,65,1,10,46000,2,20
2019,201901,2566,2019000012648,14860.8,2019000025661,190001,1,2,14860.8,2,2,2,30,1,1,100,0,0,7,71,3,30,0,1,11
2019,201901,2566,2019000012648,14860.8,2019000025661,190001,1,3,7275.6,0,0,1,3,6,1,100,1,100,0,2,0,0,999999,0,0
2019,201901,2566,2019000012648,14860.8,2019000025661,190001,1,4,7585.2,0,0,2,0,6,1,100,1,100,0,1,0,0,999999,0,0
2019,201901,2566,2019000012648,14860.8,2019000025661,190001,1,5,26316.0,1,0,2,37,6,1,100,0,0,11,114,1,10,35000,1,11
2019,201901,2566,2019000012648,14860.8,2019000025661,190001,1,6,38854.8,0,0,1,9,6,2,200,0,0,1,16,0,0,999999,0,0
2019,201901,2720,2019000024327,16408.8,2019000027201,270101,1,1,16408.8,0,0,1,57,1,2,200,0,0,11,116,2,20,0,2,20
2019,201901,2720,2019000024327,16408.8,2019000027201,270101,1,2,16563.6,0,0,2,54,1,2,200,0,0,7,71,1,10,28000,1,11
2019,201901,2875,2019000034857,4953.6,2019000028751,140001,1,1,4953.6,0,0,1,61,4,1,100,0,0,6,63,1,10,45000,1,11
2019,201901,2875,2019000034857,4953.6,2019000028751,140001,1,2,2941.2,0,0,1,7,6,1,100,0,0,1,15,0,0,999999,0,0
2019,201901,3185,2019000055007,12229.2,2019000031851,250001,1,1,12229.2,0,0,1,64,4,1,100,0,0,6,63,1,10,37000,1,11
2019,201901,3340,2019000067233,14241.6,2019000033401,210001,1,1,14086.8,0,0,2,58,1,1,100,0,0,8,81,1,10,87000,1,11
2019,201901,3340,2019000067233,14241.6,2019000033401,210001,1,2,12693.6,0,0,1,59,1,1,100,0,0,6,63,1,10,46000,2,20
2019,201901,3649,2019000086595,2631.6,2019000036491,250001,1,1,2631.6,0,0,2,24,1,1,100,0,0,8,81,1,10,25000,1,11
2019,201901,3649,2019000086595,2631.6,2019000036491,250001,1,2,1702.8,0,0,1,27,1,1,100,0,0,10,101,1,10,45000,1,11
2019,201901,3959,2019000108481,14086.8,2019000039591,140001,1,1,13932.0,0,0,2,55,1,1,100,0,0,8,81,3,30,0,1,11
2019,201901,3959,2019000108481,14086.8,2019000039591,140001,1,2,12384.0,0,0,1,61,1,1,100,0,0,4,40,1,10,80000,1,11
2019,201901,4423,2019000140054,3250.8,2019000044231,250001,1,1,3405.6,1,0,1,42,1,6,610,0,0,11,115,1,10,45600,1,11
2019,201901,4423,2019000140054,3250.8,2019000044231,250001,1,2,2322.0,1,0,2,45,1,6,610,0,0,6,63,1,10,32000,1,11
2019,201901,4423,2019000140054,3250.8,2019000044231,250001,1,3,1857.6,0,0,2,12,6,6,610,0,0,2,22,0,0,999999,0,0
2019,201901,4423,2019000140054,3250.8,2019000044231,250001,1,4,4798.8,1,0,2,74,5,6,610,0,0,6,63,3,30,0,1,11
2019,201901,4423,2019000140054,3250.8,2019000044231,250001,1,5,4489.2,0,0,1,72,5,6,610,0,0,0,2,3,30,0,1,11
2019,201901,4578,2019000149872,3250.8,2019000045781,250001,1,1,3405.6,0,0,1,60,1,1,100,0,0,6,65,1,10,80000,2,20
2019,201901,4578,2019000149872,3250.8,2019000045781,250001,1,2,2941.2,0,0,2,47,1,9,902,0,0,8,81,1,10,36000,1,11
2019,201901,4733,2019000161519,14241.6,2019000047331,230001,1,1,14241.6,0,0,1,44,1,2,200,0,0,6,63,1,10,16600,1,11
2019,201901,4733,2019000161519,14241.6,2019000047331,230001,1,2,6966.0,0,0,2,40,1,2,200,0,0,6,63,1,10,55000,1,11
2019,201901,5042,2019000181961,5263.2,2019000050421,210001,1,1,5108.4,1,1,1,27,1,1,100,0,0,6,61,1,10,54000,1,11
2019,201901,5042,2019000181961,5263.2,2019000050421,210001,1,2,5727.6,1,1,2,31,1,1,100,0,0,11,114,1,10,44400,1,11
2019,201901,5042,2019000181961,5263.2,2019000050421,210001,1,3,7275.6,0,0,1,2,6,1,100,0,0,0,1,0,0,999999,0,0
2019,201901,5197,2019000192652,39938.4,2019000051971,70001,1,1,39938.4,0,0,2,55,4,1,100,0,0,6,63,1,10,38700,1,11
2019,201901,5197,2019000192652,39938.4,2019000051971,70001,1,2,41796.0,0,0,1,54,2,1,100,0,0,3,30,1,10,0,1,11
2019,201901,5352,2019000202478,2012.4,2019000053521,250001,1,1,2012.4,0,0,2,59,6,1,100,0,0,10,101,1,10,18000,2,20
2019,201901,5816,2019000233261,10990.8,2019000058161,130201,1,1,11145.6,2,0,2,51,1,2,200,0,0,8,81,1,10,11000,1,11
2019,201901,5816,2019000233261,10990.8,2019000058161,130201,1,2,11300.4,2,0,1,57,1,2,200,0,0,6,63,1,10,15000,1,11
